net,length_um
net157,48.98
_0831_,48.9
_0437_,48.88
_0565_,48.82
_1452_,48.78
net166,48.7
_0738_,48.42
po_0.regf_0._3_\[10\],48.16
net77,48.08
_1283_,48
_0742_,47.82
net55,47.74
_1225_,47.51
po_0.regf_0.rf\[0\]\[0\],47.3
_1175_,46.5
_0797_,46.4
po_0.regf_0.rf\[8\]\[11\],46.26
_0860_,46.16
po_0.regf_0.rf\[10\]\[12\],46.01
_0501_,45.92
_1522_,45.8
po_0.regf_0.rf\[0\]\[2\],45.72
_0629_,45.405
_1492_,45.24
_0883_,45.18
_1500_,45.095
_1623_,45.02
net100,45.02
_0558_,44.94
_0872_,44.9
po_0.regf_0.w_wr,44.88
_0927_,44.76
_0543_,44.62
po_0.regf_0.rf\[13\]\[2\],44.5
net163,44.5
net144,44.4
net109,44.34
_0417_,44.12
po_0.regf_0.rf\[14\]\[14\],44.015
po_0.regf_0.rf\[13\]\[1\],44
_0597_,43.92
_1440_,43.88
po_0.regf_0.rf\[5\]\[0\],43.86
net130,43.74
po_0.regf_0._3_\[8\],43.46
_0630_,43.43
_1160_,43.42
net139,43.3
_0000_,43.12
po_0.regf_0.rf\[1\]\[10\],43.06
net146,42.88
_0481_,42.8
_1123_,42.6
_1520_,42.6
net147,42.6
_0640_,42.52
_1222_,42.42
_0428_,42.32
_1122_,42.24
_0620_,42.21
_1621_,42.14
po_0._1_\[4\],41.96
po_0.regf_0.rf\[8\]\[8\],41.82
net95,41.745
net186,41.66
po_0.regf_0.rf\[3\]\[9\],41.6
net165,41.52
_0736_,41.3
_0376_,41.28
_0401_,41.2
uc_0.bc_0._70_\[3\],41.175
_1435_,41.08
_1565_,40.96
_0761_,40.915
_0594_,40.76
po_0.regf_0.rf\[8\]\[4\],40.26
_0478_,40.2
_0701_,40.08
_0697_,40.04
_0509_,40.02
po_0.regf_0.w_addr\[3\],40
net128,39.96
net160,39.86
po_0._1_\[5\],39.82
po_0.alu_0.s0,39.78
net134,39.7
_0571_,39.64
po_0.regf_0.rf\[9\]\[12\],39.2
po_0._1_\[8\],38.96
_1502_,38.94
_0641_,38.655
_0647_,38.56
_0654_,38.42
_1269_,38.24
_0490_,37.9
_1150_,37.9
po_0._1_\[9\],37.48
po_0.regf_0.rf\[1\]\[2\],37.32
po_0.regf_0.rf\[5\]\[2\],37.3
po_0.regf_0._5_\[1\],37.1
uc_0._01_,37.1
_1523_,37.02
net98,36.98
po_0.regf_0.rf\[8\]\[10\],36.92
net185,36.86
po_0.regf_0.rf\[0\]\[13\],36.72
net87,36.69
po_0.regf_0.rf\[14\]\[1\],36.595
_0350_,36.56
_1542_,36.54
net119,36.32
uc_0._02_,36.28
_0520_,36.2
_0787_,36.18
net149,36.14
net181,36.14
po_0.regf_0.rf\[1\]\[1\],36.02
_1274_,35.9
_1546_,35.82
net18,35.74
_0402_,35.58
_0795_,35.48
po_0.regf_0.rf\[15\]\[10\],35.46
_1533_,35.36
_0623_,35.28
_0436_,35.24
_1161_,35.2
_0429_,35.16
po_0.regf_0.rf\[4\]\[2\],35.12
po_0.muxf_0.rf_w_data\[6\],35.1
net60,35.1
_0354_,35.06
_0655_,34.68
_1290_,34.66
net108,34.5
_0422_,34.48
_1137_,34.46
po_0.regf_0.rf\[9\]\[13\],34.24
_0677_,34.2
_1499_,34.1
po_0.regf_0.rf\[7\]\[13\],34.05
po_0.regf_0.rf\[13\]\[9\],33.9
po_0.muxf_0.rf_w_data\[7\],33.86
po_0.regf_0.rf\[10\]\[15\],33.855
_0834_,33.72
po_0.regf_0.rf\[2\]\[15\],33.465
po_0.regf_0.rf\[2\]\[9\],33.37
po_0._1_\[10\],33.32
po_0._1_\[2\],33.3
_0802_,33.24
_1278_,33.22
po_0.regf_0.rf\[10\]\[6\],33.19
_1237_,33.15
_0724_,33.14
_0663_,33.12
po_0._1_\[11\],33
po_0._1_\[3\],32.98
_1201_,32.8
_1172_,32.72
_0388_,32.62
_1179_,32.62
net155,32.52
_1550_,32.3
po_0.regf_0.rf\[1\]\[8\],32.28
_1192_,32.13
net172,32.06
_1539_,31.995
_0384_,31.94
uc_0.bc_0._70_\[0\],31.935
_0705_,31.84
_1235_,31.655
po_0.regf_0.rf\[12\]\[6\],31.52
uc_0._21_\[5\],31.42
po_0.alu_0._11_\[6\],31.41
po_0.regf_0.rf\[3\]\[12\],31.4
_1263_,31.34
po_0.regf_0.rf\[7\]\[2\],31.28
po_0.regf_0._5_\[4\],31.24
_1133_,31.22
po_0.regf_0.rf\[4\]\[0\],31.08
po_0.regf_0.rf\[14\]\[2\],31.07
_1306_,31
po_0._1_\[12\],30.88
_0622_,30.74
_1183_,30.72
_1206_,30.7
uc_0._21_\[0\],30.7
_1519_,30.68
net101,30.68
_0371_,30.56
_0707_,30.52
po_0.regf_0.rf\[6\]\[9\],30.43
_0576_,30.38
_0351_,30.28
_1517_,30.24
_1605_,30.22
po_0.regf_0.rf\[9\]\[4\],30.18
_0198_,30.125
po_0.regf_0.rf\[14\]\[9\],30.045
_1279_,29.96
net167,29.92
po_0.regf_0.rf\[1\]\[3\],29.9
po_0.regf_0.rf\[9\]\[6\],29.9
po_0._1_\[0\],29.88
_1280_,29.86
po_0.regf_0.rf\[6\]\[2\],29.77
_0906_,29.7
po_0.regf_0.rf\[14\]\[10\],29.66
po_0.regf_0.rf\[14\]\[5\],29.61
po_0.regf_0.rf\[5\]\[4\],29.6
_0618_,29.58
po_0.regf_0.rf\[8\]\[6\],29.58
po_0.regf_0.rf\[14\]\[12\],29.53
po_0.regf_0.rf\[1\]\[5\],29.44
po_0.regf_0.rf\[5\]\[3\],29.32
po_0._1_\[15\],29.3
_0692_,29.28
_0507_,29.22
po_0.regf_0.rf\[7\]\[15\],29.08
_0673_,29
po_0.regf_0._5_\[5\],28.98
po_0.regf_0.rf\[13\]\[0\],28.94
po_0.regf_0._3_\[6\],28.84
_0468_,28.78
net66,28.68
_0591_,28.62
net138,28.58
_1588_,28.56
po_0.regf_0.rf\[3\]\[0\],28.54
po_0.regf_0.rf\[13\]\[14\],28.52
net92,28.4
po_0.regf_0._5_\[2\],28.36
net175,28.32
po_0.regf_0.rf\[6\]\[10\],28.25
po_0.regf_0.rf\[5\]\[12\],28.24
po_0.regf_0.rf\[8\]\[5\],28.2
_0637_,28.16
po_0.regf_0.rf\[8\]\[13\],28.16
po_0.regf_0.rf\[13\]\[3\],28.1
_0415_,28.06
_0635_,28.06
_1535_,28.04
po_0.regf_0.rf\[14\]\[3\],27.87
po_0.regf_0.rf\[7\]\[1\],27.8
_0518_,27.76
po_0.regf_0.rf\[13\]\[10\],27.72
po_0.regf_0.rf\[11\]\[1\],27.64
po_0.regf_0.rf\[8\]\[0\],27.52
po_0.regf_0.rf\[1\]\[6\],27.4
_0201_,27.365
uc_0.bc_0._05_\[1\],27.32
net140,27.29
po_0.regf_0.rf\[4\]\[4\],27.28
po_0.regf_0.rf\[13\]\[5\],27.26
_0582_,27.22
_1247_,27.18
po_0.regf_0.rf\[11\]\[12\],27.1
_0737_,27.06
po_0.regf_0.rf\[12\]\[10\],27.02
net68,27
po_0.regf_0.rf\[2\]\[6\],26.99
po_0.regf_0.rf\[10\]\[7\],26.915
_0825_,26.9
_0658_,26.855
po_0.regf_0.rf\[9\]\[2\],26.82
po_0.regf_0.rf\[11\]\[2\],26.72
uc_0.bc_0._05_\[0\],26.68
_0660_,26.67
po_0.regf_0.rf\[9\]\[3\],26.66
_0760_,26.64
po_0.regf_0.rf\[8\]\[1\],26.56
_0407_,26.54
_0869_,26.5
po_0.regf_0.rf\[2\]\[4\],26.43
po_0.regf_0.rf\[13\]\[4\],26.38
net33,26.38
po_0.regf_0.rf\[12\]\[1\],26.22
_0659_,26.14
net104,26.08
uc_0._21_\[6\],26.04
_1217_,26.02
po_0._1_\[1\],25.98
_0505_,25.96
po_0.regf_0.rf\[3\]\[15\],25.9
po_0.regf_0.rf\[10\]\[10\],25.875
po_0.regf_0.rf\[12\]\[4\],25.84
po_0.regf_0.rf\[7\]\[5\],25.84
_1486_,25.82
_1515_,25.82
_0393_,25.76
po_0.regf_0.rf\[6\]\[14\],25.695
_1622_,25.68
po_0.regf_0.rf\[12\]\[13\],25.54
_1454_,25.52
_0564_,25.5
po_0.regf_0.rf\[15\]\[6\],25.5
po_0.regf_0.rf\[1\]\[7\],25.46
po_0.regf_0.rf\[1\]\[4\],25.4
po_0.regf_0.rf\[13\]\[11\],25.34
po_0.regf_0.rf\[7\]\[4\],25.24
po_0.regf_0.rf\[9\]\[15\],25.24
_1204_,25.18
_0642_,25.16
po_0.regf_0.rf\[14\]\[0\],25.1
po_0.regf_0.rf\[4\]\[1\],25.08
_0566_,24.92
_0615_,24.64
_0634_,24.6
po_0.regf_0.rf\[7\]\[3\],24.56
_0866_,24.42
_1541_,24.42
po_0.regf_0.rf\[12\]\[3\],24.4
_0586_,24.38
po_0.regf_0.rf\[4\]\[8\],24.32
_0369_,24.3
po_0.regf_0.rf\[3\]\[10\],24.25
_0364_,24.24
uc_0._21_\[3\],24.1
_0893_,24.08
uc_0._21_\[9\],24.08
_1548_,23.96
po_0.regf_0.rf\[8\]\[14\],23.96
_1061_,23.9
po_0.regf_0.rf\[14\]\[15\],23.87
_0542_,23.78
po_0.regf_0.rf\[8\]\[7\],23.78
po_0.regf_0.rf\[4\]\[10\],23.75
_0829_,23.68
_0344_,23.585
po_0.regf_0.rf\[1\]\[14\],23.48
_0671_,23.47
po_0.regf_0.rf\[12\]\[8\],23.4
po_0.regf_0.rf\[6\]\[6\],23.375
po_0.regf_0.rf\[14\]\[4\],23.37
po_0.regf_0.rf\[0\]\[1\],23.36
D_W_data[9],23.13
po_0.regf_0.rf\[1\]\[13\],23.1
_0527_,23.06
po_0.regf_0.rf\[10\]\[11\],23.015
_1551_,22.96
po_0.regf_0.rf\[9\]\[5\],22.88
_0827_,22.86
_0898_,22.82
po_0.regf_0.rf\[1\]\[15\],22.78
po_0.regf_0.rf\[8\]\[2\],22.75
_1538_,22.66
po_0.regf_0.rf\[6\]\[11\],22.57
po_0.regf_0.rf\[6\]\[7\],22.57
po_0.regf_0.rf\[12\]\[12\],22.54
po_0.regf_0.rf\[15\]\[12\],22.54
po_0.regf_0.rf\[7\]\[6\],22.54
_1576_,22.46
po_0.regf_0.rf\[5\]\[1\],22.46
po_0.regf_0.rf\[9\]\[0\],22.4
po_0.regf_0.rf\[0\]\[4\],22.38
po_0.alu_0._11_\[4\],22.35
_0784_,22.34
po_0.regf_0.rf\[11\]\[6\],22.28
_0449_,22.265
_0399_,22.26
_0535_,22.16
uc_0._21_\[1\],22.12
_0441_,22
_0653_,22
po_0._1_\[13\],21.98
_1286_,21.96
_0668_,21.9
po_0.regf_0.rf\[1\]\[9\],21.9
po_0.regf_0.rf\[14\]\[7\],21.89
_0409_,21.88
_0396_,21.84
po_0.regf_0.rf\[5\]\[13\],21.74
po_0.regf_0.rf\[5\]\[5\],21.74
po_0.regf_0.rf\[9\]\[11\],21.72
po_0.regf_0.rf\[15\]\[9\],21.68
po_0.regf_0.rf\[13\]\[7\],21.66
po_0.regf_0.rf\[15\]\[1\],21.66
po_0.regf_0.rf\[2\]\[14\],21.66
_0841_,21.6
_0887_,21.56
po_0.regf_0.rf\[10\]\[9\],21.535
po_0.regf_0.rf\[14\]\[13\],21.51
_0548_,21.48
po_0.regf_0.rf\[6\]\[12\],21.47
po_0.regf_0.rf\[11\]\[4\],21.4
po_0.regf_0.rf\[13\]\[6\],21.28
po_0.regf_0.rf\[11\]\[14\],21.24
po_0.regf_0.rf\[6\]\[3\],21.21
_0780_,21.135
po_0.regf_0.rf\[12\]\[5\],21.04
po_0.regf_0.rf\[3\]\[7\],20.96
po_0.regf_0.rf\[0\]\[8\],20.92
po_0.regf_0.rf\[2\]\[10\],20.91
_0741_,20.9
po_0.regf_0.rf\[12\]\[2\],20.84
po_0.regf_0.rf\[3\]\[2\],20.82
po_0.regf_0.rf\[12\]\[14\],20.8
_0666_,20.78
po_0.regf_0.rf\[1\]\[0\],20.66
_0711_,20.64
po_0.regf_0.rf\[4\]\[13\],20.6
po_0.alu_0._11_\[5\],20.58
po_0.regf_0.rf\[11\]\[7\],20.58
_0891_,20.56
po_0.regf_0.rf\[14\]\[8\],20.535
_1226_,20.52
_1170_,20.38
po_0.regf_0.rf\[0\]\[14\],20.38
po_0.regf_0.rf\[3\]\[6\],20.36
_1482_,20.34
po_0.regf_0.rf\[8\]\[12\],20.24
_1607_,20.18
_0540_,20.16
po_0.alu_0._10_\[9\],20.16
net182,20.12
_0850_,20.1
po_0.regf_0.rf\[11\]\[15\],20.08
po_0.regf_0.rf\[3\]\[5\],20.08
_0734_,19.94
uc_0._21_\[8\],19.9
po_0.regf_0.rf\[3\]\[11\],19.88
_1130_,19.86
_0589_,19.84
_0651_,19.84
_1242_,19.84
po_0.regf_0.rf\[8\]\[15\],19.84
_0889_,19.82
_0681_,19.8
po_0.regf_0.rf\[12\]\[7\],19.78
po_0.regf_0.rf\[6\]\[8\],19.695
uc_0.bc_0._05_\[3\],19.68
po_0.regf_0.rf\[2\]\[3\],19.67
_0425_,19.64
po_0.regf_0.rf\[1\]\[12\],19.56
_1528_,19.52
po_0.regf_0.rf\[15\]\[5\],19.47
_0859_,19.42
po_0.regf_0.rf\[14\]\[6\],19.37
po_0.regf_0.rf\[2\]\[0\],19.35
_0902_,19.32
po_0.regf_0.rf\[11\]\[13\],19.23
_0689_,19.16
_0856_,19.15
po_0.muxf_0.s1,18.94
po_0.regf_0.rf\[14\]\[11\],18.915
_0670_,18.84
po_0.regf_0.rf\[2\]\[11\],18.81
_0612_,18.78
po_0.regf_0.rf\[0\]\[7\],18.76
_1545_,18.7
po_0.regf_0.rf\[7\]\[11\],18.64
_0419_,18.58
_1297_,18.46
po_0.regf_0.rf\[4\]\[12\],18.42
po_0.regf_0.rf\[2\]\[1\],18.415
_0601_,18.32
_0562_,18.28
po_0.regf_0.rf\[4\]\[7\],18.2
_0569_,18.14
I_addr[6],18.12
po_0.regf_0.rf\[5\]\[15\],18.1
po_0.regf_0.rf\[1\]\[11\],18.04
po_0.regf_0.rf\[4\]\[6\],18.03
_0698_,18.02
po_0.regf_0.rf\[11\]\[11\],17.945
_0846_,17.86
uc_0.bc_0._70_\[1\],17.855
po_0.regf_0.rf\[10\]\[8\],17.85
po_0.regf_0.rf\[12\]\[11\],17.82
_0485_,17.8
_0678_,17.78
po_0.regf_0.rf\[4\]\[5\],17.78
po_0.regf_0.rf\[9\]\[9\],17.78
po_0.regf_0.rf\[13\]\[15\],17.76
_0770_,17.74
po_0.regf_0.rf\[15\]\[7\],17.74
po_0.regf_0.rf\[3\]\[3\],17.74
po_0.regf_0.rf\[12\]\[9\],17.68
_1230_,17.665
_1258_,17.64
_1471_,17.56
_0492_,17.48
_1534_,17.48
_0714_,17.46
_1310_,17.46
_1022_,17.44
_0206_,17.425
_1188_,17.42
po_0.regf_0.rf\[10\]\[1\],17.41
po_0.regf_0.rf\[0\]\[12\],17.4
_0619_,17.38
_0575_,17.37
_0669_,17.36
net135,17.32
_0652_,17.3
_1617_,17.28
_1144_,17.26
po_0.regf_0.rf\[0\]\[10\],17.24
po_0.regf_0.rf\[9\]\[1\],17.22
po_0.regf_0.rf\[8\]\[3\],17.18
_1010_,17.14
_0879_,17.12
po_0.regf_0.rf\[10\]\[2\],17.095
po_0.regf_0.rf\[7\]\[8\],17.08
po_0.regf_0.rf\[3\]\[14\],17.06
_1224_,17.02
_1584_,17.02
po_0.regf_0.rf\[0\]\[11\],17
_1140_,16.98
_1525_,16.96
po_0.regf_0.rf\[11\]\[3\],16.77
po_0.alu_0._10_\[1\],16.76
_0574_,16.72
_1602_,16.72
po_0.regf_0.rf\[7\]\[9\],16.72
po_0.regf_0.rf\[10\]\[4\],16.645
po_0.regf_0.rf\[4\]\[11\],16.64
I_data[13],16.62
_0611_,16.58
_0690_,16.58
po_0.regf_0.rf\[2\]\[8\],16.51
po_0.regf_0.rf\[4\]\[15\],16.44
po_0.regf_0.rf\[5\]\[9\],16.38
po_0.regf_0.rf\[2\]\[12\],16.37
po_0.regf_0.rf\[5\]\[14\],16.34
po_0.regf_0.rf\[2\]\[13\],16.335
_0772_,16.28
po_0.regf_0.rf\[7\]\[7\],16.28
po_0.regf_0.rf\[4\]\[3\],16.26
po_0.regf_0.rf\[6\]\[13\],16.235
_0754_,16.22
_0416_,16.18
po_0.regf_0.rf\[2\]\[7\],16.175
_0631_,16.16
_0605_,16.15
po_0.regf_0.rf\[0\]\[9\],16.14
po_0.regf_0.rf\[4\]\[14\],16.14
po_0.regf_0.rf\[2\]\[2\],16.13
po_0.regf_0.rf\[10\]\[3\],16.115
_1186_,16.1
uc_0.bc_0._05_\[2\],16.1
_1302_,16.085
_0700_,16.06
po_0.muxf_0.rf_w_data\[5\],16.02
po_0.regf_0.rf\[3\]\[8\],16.02
po_0.regf_0.rf\[12\]\[15\],15.98
net64,15.92
po_0.regf_0.rf\[2\]\[5\],15.85
_1271_,15.82
_1149_,15.8
_1282_,15.78
po_0.regf_0.rf\[15\]\[14\],15.78
po_0.regf_0.rf\[11\]\[0\],15.76
po_0.regf_0.rf\[0\]\[6\],15.68
_0715_,15.64
po_0.regf_0.rf\[6\]\[5\],15.63
po_0.regf_0.rf\[15\]\[4\],15.56
po_0.regf_0.rf\[10\]\[14\],15.555
_0395_,15.52
po_0.regf_0.rf\[12\]\[0\],15.42
_0533_,15.4
po_0.regf_0.rf\[11\]\[10\],15.38
_1167_,15.36
_0864_,15.34
_0675_,15.28
po_0.regf_0.rf\[15\]\[13\],15.26
_0648_,15.2
_0455_,15.16
_1357_,15.16
_1615_,15.14
_0477_,15.12
_1218_,15.12
_0621_,15.015
po_0.regf_0.rf\[13\]\[8\],15
po_0.regf_0.rf\[7\]\[10\],14.98
_0680_,14.92
po_0.regf_0.rf\[5\]\[11\],14.92
po_0.regf_0.rf\[13\]\[12\],14.9
po_0.regf_0.rf\[15\]\[3\],14.88
po_0.regf_0.rf\[7\]\[14\],14.88
_1211_,14.84
_1068_,14.82
_1298_,14.76
po_0.regf_0.rf\[6\]\[4\],14.755
_1436_,14.745
_0347_,14.7
_0792_,14.64
_0606_,14.62
_0557_,14.6
_1185_,14.54
D_R_data[7],14.51
_0900_,14.46
_0650_,14.4
_0616_,14.28
_0240_,14.245
_0847_,14.23
po_0.regf_0.rf\[15\]\[0\],14.18
po_0.regf_0.rf\[7\]\[12\],14.18
_0702_,14.14
po_0.regf_0.rf\[9\]\[14\],14.14
_0815_,14.06
_1537_,14
po_0.regf_0.rf\[9\]\[10\],14
po_0.regf_0.w_addr\[1\],14
po_0.muxf_0.s0,13.98
po_0.regf_0.rf\[11\]\[9\],13.96
_0633_,13.92
_1046_,13.92
_1614_,13.88
uc_0._21_\[15\],13.8
I_addr[11],13.72
po_0.regf_0.rf\[10\]\[5\],13.715
_0708_,13.7
_0871_,13.68
_1132_,13.68
po_0.regf_0.rf\[6\]\[15\],13.63
po_0.regf_0.rf\[9\]\[7\],13.62
uc_0._03_,13.62
po_0.regf_0.rf\[15\]\[2\],13.58
po_0.regf_0.rf\[3\]\[13\],13.58
po_0.regf_0.rf\[11\]\[5\],13.56
_0580_,13.54
_0786_,13.54
_1256_,13.54
_1420_,13.52
