net,length_um
_0352_,388.08
_0451_,381.05
_0353_,380.64
net96,377.8
_0475_,351.31
net94,350.89
_0452_,341.595
net46,330.96
_0476_,329.91
net62,324.22
net41,323.06
_1609_,303.68
net73,294.12
net84,293.025
net51,292.46
net99,291.64
_1610_,287.72
net48,286.33
_0930_,285.99
net25,282.32
net67,274.14
_0743_,273.26
net81,270.3
_1578_,268.91
_1579_,268.73
_0489_,267.88
_1598_,266.61
_0488_,263.55
_1597_,259.82
_0466_,256.1
net86,254.84
_0903_,245.56
net72,239.88
_1564_,239.43
_1593_,238.68
_1613_,238.08
net36,237.84
_1592_,236.38
net38,232.37
_0444_,231.58
_0467_,229.53
_0445_,229.51
_1003_,229.26
net59,229.07
_1023_,227.6
_1562_,227.12
_0908_,226.76
net80,220.34
_0796_,219.71
net23,215.35
_1360_,215.31
_0460_,214.09
net191,214.08
_0480_,213.64
net20,213.22
_1603_,212.28
_1318_,212.18
net50,211.88
_1378_,211.455
net4,209.98
_1062_,209.39
_1601_,209.02
_1042_,208.2
net11,208.02
net53,207.37
net14,205.04
_1561_,203.06
_0470_,202.84
_1575_,201
net15,200.77
_1398_,200.64
net5,199.9
_0479_,199.49
_1100_,199.25
_0458_,199.08
_0788_,196.8
_0367_,196.72
_0873_,196.56
_1343_,196.42
_0513_,196.38
_1438_,195.71
_0471_,194.93
_0820_,194.65
net10,193.805
_0462_,192.97
_1559_,192.82
_1600_,192.62
_0499_,188.88
_1573_,188.46
_1359_,187.88
net54,187.84
_0985_,186.975
_1589_,186.84
_1563_,186.36
_0366_,186.2
net90,185.08
_0843_,184.96
net28,182.66
net29,180.51
_0512_,180.1
_0473_,179.32
net39,177.84
_0472_,177.76
_0895_,177.14
net89,176.955
net58,176.76
net8,176
_0511_,175.29
net32,173.95
_0835_,173.94
net19,173.78
_0984_,173.18
_1472_,172.14
_0728_,169.335
net69,168.38
_0362_,167.97
_0767_,166.86
_0465_,166.72
net34,166.5
_0493_,166.1
net45,165.62
_1570_,165.1
_1596_,164.98
_0861_,164.66
net2,164.62
_0882_,164.47
net1,164.34
_0777_,163.8
_1397_,162.22
_0361_,161.875
_0450_,161.16
_0735_,160.8
_0808_,160.5
net88,160.3
_0950_,159.88
_1591_,158.5
net47,157.72
net3,156
_1136_,155.76
net61,155.6
_0755_,155.26
_1081_,154.44
_1567_,153.46
_0003_,152.9
_0440_,152.55
_0438_,151.6
_1416_,151.51
net40,150.79
_0524_,150.395
_0006_,148.98
net190,148.62
net27,148.02
_1585_,147.67
net82,147.56
po_0.regf_0.rp_rd,147.19
net31,146.9
_0439_,146.78
_0443_,145.9
_0852_,145.415
_1082_,145.3
_1555_,145.16
_0729_,144.74
_1571_,144.7
_0463_,144.4
_0487_,144
_1156_,143.6
po_0.regf_0.rq_rd,143.4
net22,142.5
_1473_,141.84
_0753_,141.44
_0447_,140.9
_0725_,140.58
net13,140.105
_0525_,138.82
net7,138.12
_1124_,137.82
net42,137.66
_0752_,137.16
net125,136.99
net6,135.91
_0731_,135.8
_1581_,135.18
_1043_,133.8
_1004_,133.1
net76,132.66
_1568_,132.36
net93,132.3
_0762_,132.25
_0763_,130.575
_0951_,129.825
_1489_,128.88
net37,127.72
_0530_,126.98
_1063_,126.52
net57,126.46
_1443_,125.43
_1549_,125.38
_1557_,125.04
_1582_,124.04
net126,123.72
net30,121.94
_1151_,121.7
_0004_,120.34
net35,118.16
net26,117.74
_1583_,117.22
net170,117.02
_0739_,116.88
_1344_,116.86
_1405_,116.5
_0992_,115.9
_1337_,115.84
net79,115.44
net12,114.66
net74,113.66
uc_0._21_\[14\],113.36
net176,112.82
uc_0._21_\[12\],110.98
_1157_,110.69
_1248_,109.02
_1442_,108.75
_0732_,107.9
_1101_,107.58
_1120_,107.38
_1417_,107.1
_1024_,106.74
_0964_,105.67
_0823_,105.53
_1119_,105.08
_1319_,104.02
net177,103.99
_0005_,103.88
_0748_,103.805
_0747_,103.8
_1147_,102.82
_1367_,102.64
po_0.regf_0._5_\[9\],102.08
_1108_,101.395
uc_0._21_\[11\],100.9
net189,100.58
_0744_,100.46
_1386_,99.96
_1050_,99.64
_1326_,98.82
po_0.regf_0._3_\[14\],97.7
net24,97.6
net124,97.18
net97,96.82
_1131_,96.46
net152,96.19
net17,95.92
_1553_,95.86
_0976_,95.16
_0874_,94.62
_1011_,94.36
po_0.regf_0._3_\[9\],94.26
_1529_,93.78
_0002_,93.27
_0938_,92.88
_0916_,92.82
_1070_,92.64
_1163_,92.1
_1487_,91.48
net75,91.34
_0810_,90.64
_1089_,90.6
_0007_,90.58
_1379_,90.46
net143,90.28
_0595_,90.06
uc_0._21_\[10\],90.06
_1129_,89.98
po_0.regf_0._5_\[3\],89.74
po_0.regf_0._5_\[15\],89.66
po_0.regf_0._3_\[0\],88.96
_0746_,88.36
_0773_,87.365
_0372_,86.3
_0740_,86.14
_0909_,85.52
_0957_,85.42
net44,85.28
po_0.regf_0._3_\[11\],85.22
_1491_,85.04
_0380_,83.98
net9,83.52
po_0._1_\[6\],83.22
_1031_,83.14
_1121_,82.84
_1566_,82.54
net16,82.3
net71,82.1
net153,82.08
_1458_,81.74
net162,81.68
net21,81.24
_0966_,80.86
_0862_,80.72
_0931_,80.68
_0961_,80.545
_1456_,80.08
_0821_,80.02
po_0.regf_0._5_\[0\],79.06
net70,78.98
_1441_,77.65
_0809_,76.6
_0959_,76.48
net132,76.1
_0789_,76.03
net123,75.92
_0768_,75.84
_1488_,75.62
net148,75.45
net179,75.38
_0430_,75.16
net106,74.98
po_0.regf_0._5_\[12\],74.88
net110,74.87
_0413_,74.68
_0955_,73.92
net178,73.86
_0411_,73.84
net188,73.78
net43,73.74
_1358_,73.6
_0776_,73.52
_1135_,73.24
_0836_,73.14
net145,72.62
_0001_,72.38
_0727_,72.28
_1241_,72.22
net164,71.6
po_0.regf_0._5_\[11\],71.44
net174,71.38
net173,71.34
_0853_,71.12
net114,70.34
_1493_,70.075
_0953_,70.02
po_0.regf_0._5_\[8\],69.12
_1128_,68.96
_0390_,68.84
uc_0._21_\[4\],68.78
_0370_,68.7
_0528_,68.58
net83,68.54
net154,68.38
_0968_,68.24
_1572_,68.12
net91,68.06
net151,67.84
_1126_,67.4
net103,67.36
_1127_,67.3
_0896_,66.25
_0928_,66.12
_0963_,65.88
net168,65.87
net85,65.72
net187,64.74
po_0.regf_0._5_\[13\],64.64
_0766_,64.34
net49,64.14
net133,64.07
_0457_,63.91
net112,63.8
uc_0._21_\[13\],63.5
_0431_,63.44
_0685_,63.34
net184,63.26
_1460_,63.02
_0593_,62.86
net107,62.74
_1424_,62.64
_0844_,62.52
net136,62.32
_1574_,62.26
net121,61.76
_0949_,61.6
_0359_,61.58
_1193_,61.4
net159,61.34
_0782_,61.12
_0584_,60.96
po_0._1_\[7\],60.76
_1604_,60.7
_0807_,60.5
uc_0.bc_0._70_\[2\],60.47
_0868_,60.38
_0596_,60.28
net137,60.2
_0408_,60.185
_1552_,60.16
_0974_,60.02
_0904_,59.9
_0400_,59.88
_1134_,59.42
net117,59.4
net141,59.08
po_0.regf_0._3_\[3\],58.94
net115,58.94
po_0.regf_0.rf\[7\]\[0\],58.52
net116,58.52
_0374_,58.5
_0498_,57.28
_0459_,57.2
_0550_,57.2
po_0.regf_0.rf\[0\]\[3\],56.72
net127,56.68
po_0.regf_0.rf\[0\]\[5\],56.48
_0970_,56.4
net180,56.26
_0382_,56.2
net102,56.14
_0929_,55.86
net183,55.84
net113,55.8
po_0.regf_0.rf\[6\]\[0\],55.77
po_0.muxf_0.rf_w_data\[1\],55.56
net131,55.56
net122,55.24
net169,55.22
net158,55.18
net105,55.04
po_0.regf_0._5_\[7\],54.9
po_0.regf_0._3_\[1\],54.8
_0978_,54.64
net56,54.1
po_0._1_\[14\],53.76
net142,53.72
_0756_,52.96
net161,52.78
_1513_,52.58
net129,52.46
_0536_,52.4
_1612_,51.88
_1526_,51.7
_0972_,51.66
po_0.regf_0.rf\[8\]\[9\],51.52
_1356_,51.51
_1264_,51.355
net150,51.2
net156,51.04
_1221_,50.74
po_0.muxf_0.rf_w_data\[0\],50.54
net171,50.38
_0626_,50.3
_0679_,50.28
po_0.regf_0.w_addr\[2\],50.2
_0778_,49.82
_0982_,49.78
net111,49.76
po_0.alu_0.s1,49.74
_0980_,49.72
uc_0._00_,49.68
_1524_,49.55
_0643_,49.42
net120,49.2
net118,49.06
