net,length_um
_0332_,2.52
_0371_,2.52
_0578_,2.52
_0640_,2.52
_0368_,2.5
_0533_,2.5
_0535_,2.5
_0654_,2.5
_0672_,2.5
_0789_,2.5
_0564_,2.38
_0144_,2.375
_0016_,2.325
_0036_,2.325
_0057_,2.325
_0104_,2.325
_0138_,2.325
_0152_,2.325
_0164_,2.325
_0179_,2.325
_0215_,2.3
_0295_,2.3
_0856_,2.3
_0868_,2.3
po_0.alu_0._11_\[7\],2.3
_0026_,2.255
_0028_,2.255
_0038_,2.255
_0052_,2.255
_0114_,2.255
_0134_,2.255
_0648_,2.18
_0727_,2.18
_0254_,2.16
_0342_,2.16
_0344_,2.16
_0391_,2.16
_0414_,2.16
_0497_,2.16
_0671_,2.16
_0770_,2.16
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[5\],2.16
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[6\],2.16
_0027_,2.085
_0048_,2.085
_0061_,2.085
_0070_,2.085
_0107_,2.085
_0119_,2.085
_0125_,2.085
_0129_,2.085
_0157_,2.085
_0174_,2.085
_0224_,2.06
_0398_,2.06
_0426_,2.06
_0429_,2.06
_0698_,2.06
_0381_,2.04
_0608_,2.04
_0668_,2.04
_0677_,2.04
_0689_,2.04
_0015_,1.865
_0025_,1.865
_0032_,1.865
_0043_,1.865
_0049_,1.865
_0056_,1.865
_0058_,1.865
_0072_,1.865
_0088_,1.865
_0092_,1.865
_0121_,1.865
_0122_,1.865
_0123_,1.865
_0126_,1.865
_0131_,1.865
_0140_,1.865
_0178_,1.865
_0204_,1.82
_0518_,1.72
_0702_,1.72
_0739_,1.72
_0280_,1.7
_0771_,1.7
po_0.alu_0._11_\[3\],1.7
_0189_,1.6
_0239_,1.6
_0241_,1.6
_0263_,1.6
_0376_,1.6
_0379_,1.6
_0419_,1.6
_0423_,1.6
_0437_,1.6
_0848_,1.6
_0876_,1.6
_0127_,1.575
_0130_,1.575
_0141_,1.575
_0154_,1.575
_0783_,1.48
_0794_,1.48
_0068_,1.405
_0089_,1.405
_0133_,1.405
_0143_,1.405
_0181_,1.405
_0404_,1.38
_0186_,1.14
_0187_,1.14
_0188_,1.14
_0200_,1.14
_0208_,1.14
_0214_,1.14
_0242_,1.14
_0356_,1.14
_0385_,1.14
_0413_,1.14
_0806_,1.14
_0846_,1.14
_0850_,1.14
_0852_,1.14
_0854_,1.14
_0861_,1.14
_0731_,0.92
_0765_,0.92
