net,length_um
_0978_,67.18
_1225_,66.9
net154,66.52
po_0.regf_0._5_\[0\],66.42
_0700_,66.32
uc_0.bc_0._54_\[0\],66.245
_0497_,64.99
_1377_,64.92
_0988_,64.74
net183,64.38
_1111_,64.28
_0739_,64.04
net76,64.04
net147,63.96
po_0.regf_0._5_\[4\],63.76
_0872_,63.72
_0493_,63.68
uc_0.bc_0._54_\[1\],62.685
po_0._1_\[4\],62.58
net135,62.47
_0530_,62.38
_0971_,62.32
net133,62.2
net21,61.9
net106,61.18
_0793_,61.065
net185,61.06
_0870_,61
_0838_,60.98
net49,60.96
_0396_,60.94
_1073_,60.79
net153,60.48
_0761_,60.36
_0984_,59.54
_0643_,59.37
_1167_,58.92
po_0.regf_0._3_\[4\],58.86
_0566_,58.84
net178,58.6
_0523_,58.32
net71,58.32
net163,58.22
_1339_,57.8
po_0.regf_0._3_\[11\],57.78
_1336_,57.64
net160,57.52
po_0.regf_0._5_\[6\],57.46
_0969_,55.84
_1099_,55.18
net168,55.1
net109,54.86
net100,54.8
net166,54.76
_0581_,54.58
net116,54.44
_0980_,54.3
po_0.regf_0.w_addr\[3\],54.24
net130,54.18
net103,54.08
net18,53.96
net17,53.94
_0965_,53.62
_0372_,53.52
po_0._1_\[8\],53.52
_0857_,53.48
_0559_,53.46
_1166_,53.46
po_0.regf_0._3_\[0\],53.44
net180,53.32
_1123_,53.22
_0506_,52.32
_1485_,52.04
_0856_,51.92
_0561_,51.56
net177,51.54
net151,51.5
uc_0.bc_0._54_\[2\],51.445
_0476_,51.36
uc_0._01_,51.34
_0973_,51.2
_0963_,51.06
net108,50.88
net102,50.5
net150,50.36
_0798_,50.24
_1395_,50.18
_0435_,50.08
net157,49.9
net77,49.86
po_0.regf_0._5_\[10\],49.6
net152,49.51
_0650_,49.32
_0725_,49.1
net101,49.1
_1481_,49.06
net86,49.03
_0848_,49
net171,48.94
net43,48.88
net65,48.74
_0791_,48.64
po_0.regf_0._3_\[6\],48.44
_0407_,48.34
po_0.regf_0.rf\[11\]\[9\],48.34
_1386_,48.295
po_0.regf_0.rf\[10\]\[2\],48.185
net127,48.18
_0976_,48.06
uc_0._20_\[11\],48
net126,47.52
_0379_,47.34
_1423_,47.22
_0378_,47.16
net113,46.96
_0499_,46.92
net24,46.9
_0351_,46.82
_1126_,46.46
po_0.regf_0.rf\[11\]\[2\],46.36
net122,46.17
net146,45.98
_0704_,45.96
net131,45.85
net104,45.74
net176,45.51
